"","Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","season","Distance","Xdistance","order"
"61","Poudre Below Rustic",2021-04-12,NA,NA,NA,4.53,0.27,7.45,624.54,64.23,2.18,0.01,0.97,1.74,6.21,0.07,1.39,0.08,0,3.05,245,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"62","Poudre Above North Fork",2021-04-12,NA,NA,NA,4.87,0.25,7.55,743.27,91.12,4.21,0.01,1.12,2.09,10.98,0.11,2.56,0.43,0,5.39,248,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"63","Poudre Below S. Fork",2021-04-12,NA,NA,NA,4.88,0.33,7.36,503.4,68.96,2.66,0.01,0.94,1.85,6.26,0.11,1.41,0.13,0,3.3,247,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"64","Poudre South Fork",2021-04-12,NA,NA,NA,5.19,0.48,7.33,393.02,49.64,2.89,0.01,0.8,1.22,5.03,0.08,0.81,0.62,0,3.64,246,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"65","Poudre Above Joe Wright",2021-04-19,1.4,0,NA,4.29,0.44,7.27,381.18,42.42,2.02,0.01,0.99,1.08,4.12,0.12,0.65,0.3,0,2.29,265,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"66","JWC-Joe Wright @ Aspen Glen Campground",2021-04-19,NA,NA,NA,4.12,0.3,7.37,499.82,52.97,1.72,0.01,0.78,1.21,5.55,0.05,0.59,0.05,0,2.5,264,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"67","Poudre Below Rustic",2021-04-19,NA,NA,NA,3.69,0.23,7.47,574.46,62.08,2.77,0.01,0.94,1.72,6.01,0.07,1.41,0.11,0,2.95,267,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"68","Poudre Above North Fork",2021-04-19,NA,NA,NA,4.31,0.26,7.63,700.11,98.59,4.34,0.01,1.06,1.98,10.54,0.11,2.96,0.42,0,5.3,270,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"69","Poudre Below S. Fork",2021-04-19,NA,NA,NA,3.87,0.2,7.5,480.83,58.53,2.74,0.11,0.98,1.8,6.02,0.1,1.38,0.14,0,3.33,268,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"70","Poudre South Fork",2021-04-19,NA,NA,NA,3.63,0.36,7.28,381.79,48.37,2.87,0.01,0.79,1.28,4.79,0.08,0.78,0.57,0,3.75,260,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"71","Poudre Above Joe Wright",2021-04-26,NA,0,NA,4.37,0.65,6.97,340.96,40.27,2.1,0.01,0.99,1.07,3.98,0.1,0.71,0.34,0,2.27,285,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
