"","Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","season","Distance","Xdistance","order"
"229","Sleeping Elephant",2022-07-11,1.4,3.2,0.87,2.72,0.24,7.34,321.78,39.7,1.08,0.02,0.57,1.05,5.29,0.01,0.28,0.56,0,2.76,1599,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SUMMER","20 - SLEP",21,"21"
"230","Poudre South Fork",2022-07-18,5.98,0,0.8,2.66,0.32,7,249.89,29.77,1.66,0.01,0.42,0.74,3.78,0.07,0.26,0.15,0,1.05,1628,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"231","JWC-Joe Wright @ Aspen Glen Campground",2022-07-25,0.56,0.57,2.2,3.04,0.35,7.28,396.32,47.07,1.41,0.07,0.75,1.13,6.66,0.02,0.58,0.27,0,2.27,1651,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"232","Poudre at Bellvue Diversion",2022-07-25,19.82,18.48,0.88,3.12,0.57,7.52,584.71,69.58,2.49,0.01,0.76,1.8,9.06,0.06,1.47,0.25,0,3.46,1658,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"233","Poudre Below Rustic",2022-07-25,0.84,3.6,0.84,2.81,0.42,7.21,395.98,48.21,1.6,0.03,0.7,1.32,6.93,0.05,0.48,0.53,0,3.62,1655,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"234","Poudre Above Joe Wright",2022-07-25,6.7,4.59,0.8,3.4,0.43,7.03,284,42.68,1.18,0.03,0.54,1.03,5.93,0.07,0.21,0.71,0,5.02,1653,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"235","Poudre Above North Fork",2022-07-25,5.84,6.89,0.89,2.73,0.21,7.15,413.54,52.15,1.79,0.01,0.71,1.34,7.03,0.05,0.59,0.3,0,3.22,1657,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"236","Poudre Below S. Fork",2022-07-25,3.25,6.98,0.88,2.81,0.65,7.12,397.51,50.77,1.71,0.01,0.69,1.43,6.97,0.04,0.49,0.4,0,2.89,1656,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
"237","Sleeping Elephant",2022-07-25,8.72,8.31,1.34,2.92,0.39,6.93,382.28,47.52,1.34,0.02,0.64,1.14,6.54,0.01,0.33,0.67,0,3.6,1654,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SUMMER","20 - SLEP",21,"21"
"238","JWC-Joe Wright @ Aspen Glen Campground",2022-08-08,4.88,3,2.64,2.92,0.35,7.44,379.73,43.38,1.25,0.03,0.62,1,6,0.02,0.53,0.18,0,2.19,1695,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"239","Poudre at Bellvue Diversion",2022-08-08,11,16.3,0.72,3.12,0.43,7.44,539.83,62.76,2.16,0.01,0.86,1.59,7.59,0.16,0.97,0.08,0,3.79,1704,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"240","Poudre Below Rustic",2022-08-08,7.21,7.45,0.61,2.83,0.36,7.43,395.35,52.1,1.78,0.02,0.65,1.37,6.8,0.03,0.49,0.54,0,3.78,1699,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"241","Poudre Above Joe Wright",2022-08-08,6.02,4.8,0.91,2.75,0.35,7.04,336.31,47.04,1.09,0.03,0.45,0.94,6.3,0.04,0.18,0.65,0,5.41,1696,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"242","Poudre Above North Fork",2022-08-08,8.45,8.2,1.04,3.12,0.14,7.37,470.59,56.02,2.01,0.02,0.88,1.37,7.06,0.04,0.76,0.12,0,4.01,1703,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"243","Poudre Below S. Fork",2022-08-08,9.71,11.4,0.92,3.61,0.47,7.25,466.69,54.26,1.74,0.02,0.73,1.51,7.03,0.03,0.51,0.42,0,3.02,1701,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
"244","Poudre South Fork",2022-08-08,11.94,21.2,0.68,3.22,1.94,6.94,346.35,34.69,1.67,0.02,0.44,0.77,3.67,0.04,0.24,0.14,0,1,1700,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"245","Sleeping Elephant",2022-08-08,5.22,3.8,0.86,2.72,0.31,6.94,376.9,48,1.39,0.02,0.66,1.22,6.62,0.02,0.34,0.69,0,3.63,1698,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SUMMER","20 - SLEP",21,"21"
"246","Poudre at Archery Range",2022-08-25,52.03,53.53,20.38,3.27,0.92,7.4,2358.44,629.95,25.36,0.1,2.63,17.92,64.98,0.49,21.61,1.49,0,124.04,1767,2022,"ARCH",40.5479138,-105.0011275,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"247","Poudre at ELC",2022-08-25,34.98,41.51,25.91,3.27,0.96,7.6,2360.22,600.6,25.46,0.11,2.47,16.54,61.12,0.48,21.7,1.39,0,116.81,1766,2022,"ELC",40.5519476,-105.0105977,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"248","JWC-Joe Wright @ Aspen Glen Campground",2022-08-25,1.31,2,1.11,2.68,0.31,7.31,375.4,41.69,1.19,0.06,0.58,0.8,5.29,0.06,0.55,0.14,0,2.04,1759,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"249","Poudre at Legacy Bridge",2022-08-25,31.07,28.73,4.2,2.77,0.37,7.07,773.59,104.34,4.68,0.04,1.93,2.26,12.28,0.39,2.08,1.24,0,7.66,1764,2022,"LEGC",40.6006194,-105.0860344,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"250","Poudre at Bellvue Diversion",2022-08-25,15,32.21,1.13,2.5,0.27,7.47,538.5,66.89,2.2,0.03,0.9,1.83,7.89,0.1,0.99,0.04,0,3.89,1762,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"251","Poudre Above Joe Wright",2022-08-25,4.08,2.69,0.73,2.38,0.34,6.96,306.2,41.9,0.91,0.03,0.36,0.74,4.9,0.03,0.18,0.62,0,5.64,1760,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"252","Poudre Above North Fork",2022-08-25,18.09,15.66,1.01,2.53,0.45,7.17,499.98,57.16,2.05,0.02,0.9,1.4,7.11,0.04,0.8,0.11,0,4.12,1761,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"253","Poudre at Timberline",2022-08-25,28.17,30.98,10.17,3.22,0.67,7.28,1388.19,247.78,13.38,0.09,2.33,6.16,24.46,0.47,11.83,1.17,0,34.22,1765,2022,"TIMB",40.5754289,-105.0333903,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"254","JWC-Joe Wright @ Aspen Glen Campground",2022-08-26,6.25,7.8,0.76,2.47,0.26,7.18,461,44.39,1.12,0.04,0.54,0.84,5.22,0.02,0.52,0.18,0,1.94,1769,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"255","Poudre at Bellvue Diversion",2022-08-26,21.83,26.86,1.02,2.64,0.34,7.49,582.97,68.42,2.26,0.02,0.99,1.9,8.12,0.1,0.9,0.04,0,4,1778,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"256","Poudre Below Rustic",2022-08-26,8.58,12.31,0.99,2.49,0.26,7.15,457.18,55.21,1.8,0.02,0.67,1.38,6.99,0.02,0.51,0.59,0,3.81,1773,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"257","Poudre Above Joe Wright",2022-08-26,0.87,0.19,0.7,2.38,0.39,6.95,280.85,39.58,0.84,0.02,0.38,0.72,4.85,0.02,0.16,0.59,0,5.51,1771,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"258","Poudre Above North Fork",2022-08-26,13.48,10.39,1.03,2.54,0.14,7.14,494.7,58.59,2.03,0.03,0.91,1.41,7.14,0.03,0.81,0.12,0,4.19,1777,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"259","Poudre Below S. Fork",2022-08-26,30.51,28.8,1.16,2.61,0.22,7.06,486.63,56.43,1.78,0.02,0.74,1.53,7.11,0.03,0.54,0.44,0,3.04,1776,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
"260","Poudre South Fork",2022-08-26,7.44,10.4,0.73,2.42,0.19,6.94,400.67,35.91,1.68,0.02,0.47,0.78,3.77,0.04,0.23,0.15,0,1,1775,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"261","Sleeping Elephant",2022-08-26,4.3,2.78,0.69,2.47,0.18,6.95,330.68,49.86,1.43,0.03,0.7,1.25,6.71,0.02,0.34,0.73,0,3.66,1772,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SUMMER","20 - SLEP",21,"21"
"262","Poudre South Fork",2022-08-31,0.09,5.8,0.85,2.22,0.23,6.95,383.23,36.34,1.7,0.01,0.48,0.8,3.8,0.03,0.2,0.13,0,1.08,1799,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"263","JWC-Joe Wright @ Aspen Glen Campground",2022-09-09,2.95,0.97,1.45,2.55,0.27,6.84,456.23,49.75,1.53,0.03,0.78,1.23,6.4,0.05,0.55,0.13,0,2.45,1822,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"264","Poudre at Bellvue Diversion",2022-09-09,10.56,6.53,0.42,2.29,0.12,7.28,588.8,75.71,2.62,0.05,0.99,2.02,9.74,0.17,1.37,0.06,0,5.44,1830,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"265","Poudre Below Rustic",2022-09-09,4.06,1.11,0.14,2.26,0.22,6.85,541.98,62.73,1.93,0.05,0.88,1.68,8.27,0.02,0.58,0.13,0,4.2,1826,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"266","Poudre Above Joe Wright",2022-09-09,0.85,0.19,0.25,1.92,0.42,6.73,310.1,46.51,1.34,0.03,0.62,1.04,5.62,0.02,0.17,0.55,0,7.68,1823,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"267","Poudre Above North Fork",2022-09-09,13.27,3.6,0.58,2.14,0.17,7.17,478.04,64.02,2.16,0.01,0.91,1.7,8.25,0.06,0.73,0.09,0,5.48,1829,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"268","Poudre Below S. Fork",2022-09-09,11.48,18.6,0.79,2.09,0.13,7.07,541.23,64.88,2.09,0.02,0.88,1.62,7.77,0.02,0.6,0.11,0,5.39,1828,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
"269","Poudre South Fork",2022-09-09,0.49,2,1.01,2.19,0.1,6.96,408.77,47.13,2.5,0.01,0.67,1.26,5.51,0.02,0.44,0.23,0,2.3,1827,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"270","Sleeping Elephant",2022-09-09,5.98,4.6,1.04,2.17,0.14,6.93,362.27,54.55,1.49,0.03,0.7,1.37,7.61,0.02,0.31,0.35,0,6.59,1825,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SUMMER","20 - SLEP",21,"21"
"271","Poudre at Archery Range",2022-09-19,23.54,24.4,3.5,3.6,1.43,7.52,2451.49,596.77,23.94,0.26,2.33,16.77,57.37,0.17,17.17,1.83,0,125.26,1883,2022,"ARCH",40.5479138,-105.0011275,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"272","Poudre at ELC",2022-09-19,6.47,4.98,5.49,3.28,1.11,7.82,2787.5,503.29,17.88,0.39,1.66,11.02,44.61,0.13,15.38,1.63,0,77.31,1882,2022,"ELC",40.5519476,-105.0105977,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"273","JWC-Joe Wright @ Aspen Glen Campground",2022-09-19,0.46,3,1.62,2.58,0.29,6.97,499.88,56.73,1.66,0.03,0.89,1.32,7.67,0.05,0.62,0.14,0,2.85,1875,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"274","Poudre at Legacy Bridge",2022-09-19,2.89,1.9,1.73,2.68,0.49,7.39,1435.35,189.85,5.88,0.33,0.94,5.3,30.15,0.08,2.37,0.92,0,8.63,1880,2022,"LEGC",40.6006194,-105.0860344,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"275","Poudre at Bellvue Diversion",2022-09-19,10.93,7.19,0.41,2.48,0.08,7.18,638.67,76.93,2.85,0,1.01,2.12,9.5,0.12,1.63,0.07,0,3.83,1879,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"276","Poudre Below Rustic",2022-09-19,4.33,4.6,0.66,2.22,0.18,7.08,589.34,67.11,2.27,0.02,1,1.7,8.27,0.02,0.86,0.08,0,3.58,1876,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"277","Poudre Above North Fork",2022-09-19,8.17,4.83,0.37,2.23,0.16,7.17,573.79,67.03,2.44,0,1.1,1.9,8.67,0.05,1.05,0.07,0,3.62,1878,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"278","Poudre at Timberline",2022-09-19,9.29,8.63,2.66,3.06,1.22,7.4,1462.83,349.53,14.47,0.41,1.2,7.91,32.74,0.12,12.41,1.71,0,62.25,1881,2022,"TIMB",40.5754289,-105.0333903,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"279","JWC-Joe Wright @ Aspen Glen Campground",2022-09-23,1.71,1.8,2.91,2.34,0.25,7,510.46,54.53,1.66,0.04,0.79,1.29,6.98,0.06,0.62,0.08,0,2.34,1910,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"280","Poudre at Bellvue Diversion",2022-09-23,11.22,8.6,0.62,2.18,0.08,6.98,598.04,68.67,2.68,0.07,0.94,1.85,8.4,0.11,1.3,0.08,0,3.09,1918,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"281","Poudre Below Rustic",2022-09-23,2.78,1.8,1.2,2.18,0.06,6.91,518.52,60.13,2.15,0.05,0.92,1.63,7.67,0.08,0.95,0.08,0,3.06,1913,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"282","Poudre Above Joe Wright",2022-09-23,0.87,1.4,3.45,2.42,0.85,6.87,353.99,45.66,1.9,0.03,0.7,1.19,5.86,0.12,0.75,0.52,0,3.62,1911,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"283","Poudre Above North Fork",2022-09-23,6.48,4.6,0.9,2.02,0.13,6.93,563.8,64.85,2.38,0.06,0.9,1.71,7.91,0.1,1.01,0.08,0,3.05,1917,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"284","Poudre Below S. Fork",2022-09-23,4.34,3.41,0.95,2.33,0.08,6.92,497.31,60.44,2.29,0.04,0.89,1.62,7.28,0.09,0.89,0.08,0,3.85,1916,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
"285","Poudre South Fork",2022-09-23,5.52,4.2,1.47,1.96,0.06,6.89,444.64,47.34,2.38,0.02,0.71,1.26,5.35,0.14,0.59,0.2,0,1.89,1914,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"286","Sleeping Elephant",2022-09-23,2.43,2.4,2.6,2.29,0.28,6.86,438.68,52.37,1.81,0.03,0.79,1.31,7.01,0.08,0.69,0.13,0,2.75,1912,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SUMMER","20 - SLEP",21,"21"
"287","Poudre South Fork",2022-09-28,0.22,0,0.95,1.96,0.07,6.94,394.93,43.07,2.31,0.01,0.65,1.23,5.21,0.12,0.55,0.23,0,1.83,1941,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"288","JWC-Joe Wright @ Aspen Glen Campground",2022-10-07,4.43,3.24,1.16,2.42,0.27,7.03,537.82,65.78,2.54,0,0.73,1.59,8.56,0.06,1.04,0.16,0,3.23,1962,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"289","Poudre at Bellvue Diversion",2022-10-07,0.92,2.22,0.48,2.35,0.09,7.2,890.54,89.75,2.79,0.06,1.21,2.34,9.03,0.12,1.78,0.07,0,4.12,1969,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"FALL","25 - PBD",26,"26"
"290","Poudre Below Rustic",2022-10-07,0.84,0.74,0.39,1.69,0.04,7.11,691.89,78.97,3.74,0.01,0.95,2.42,9.89,0.1,1.58,0.08,0,4.47,1965,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"291","Poudre Above Joe Wright",2022-10-07,0.49,1.51,0.58,2.03,0.41,6.96,402.07,50.14,2.69,0.02,0.53,1.3,6.05,0.11,0.73,0.75,0,3.29,1963,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"292","Poudre Above North Fork",2022-10-07,3.67,1.3,0.24,2.04,0.14,7.1,620.01,77.08,3.75,0.02,0.81,2.18,9.38,0.11,1.66,0.07,0,4,1968,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"293","Poudre Below S. Fork",2022-10-07,1.45,1.35,0.49,1.93,0.11,7.1,587.04,73.31,3.52,0.01,0.83,2.12,8.98,0.11,1.33,0.06,0,3.91,1967,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"FALL","23 - PSF",24,"24"
"294","Poudre South Fork",2022-10-07,0.39,1.76,NA,1.84,0.32,7.01,439.71,52.96,3.41,0.02,0.45,1.41,5.86,0.15,0.64,0.24,0,2.67,1966,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"295","Sleeping Elephant",2022-10-07,0.91,1.32,0.68,2.17,0.28,6.99,555.2,64.34,2.77,0.02,0.63,1.76,7.88,0.11,0.94,0.5,0,3.61,1964,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"FALL","20 - SLEP",21,"21"
"296","JWC-Joe Wright @ Aspen Glen Campground",2022-10-21,4.23,3,4.19,2.2,0.31,7.1,501.32,67.99,2.68,0.04,0.7,1.4,8.95,0.05,1.24,0.26,0,4.65,2004,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"297","Poudre at Bellvue Diversion",2022-10-21,0.84,1.8,0.52,2.38,0.16,6.91,878.15,102.04,4.45,0.01,0.95,3.23,11.63,0.13,2.51,0.06,0,4.81,2012,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"FALL","25 - PBD",26,"26"
"298","Poudre Below Rustic",2022-10-21,0.41,1,0.62,2.19,0.1,6.84,639.7,76.93,3.44,0.01,0.77,2.29,9.26,0.07,1.51,0.13,0.01,4.51,2007,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"299","Poudre Above Joe Wright",2022-10-21,0.51,1,0.36,1.82,0.44,6.89,370.56,54.2,3.03,0,0.52,1.17,6.88,0.03,1.11,0.41,0,4.35,2005,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"300","Poudre Above North Fork",2022-10-21,0.81,1.2,0.28,2.01,0.24,6.98,654.17,80.37,3.95,0.01,0.78,2.39,9.4,0.1,1.83,0.06,0,4.63,2011,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"301","Poudre Below S. Fork",2022-10-21,0.67,0.4,0.46,2.05,0.14,6.91,681.7,78.15,3.68,0.01,0.71,2.26,8.99,0.1,1.45,0.06,0.01,4.37,2010,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"FALL","23 - PSF",24,"24"
"302","Poudre South Fork",2022-10-21,0.77,1.2,0.62,1.95,0.2,7,424.43,49.99,3.2,0,0.41,1.35,5.35,0.14,0.66,0.27,0.01,2.62,2008,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"303","Sleeping Elephant",2022-10-21,0.26,1,1.08,2.5,0.28,6.85,506.18,60.08,3.04,0.01,0.52,1.25,6.99,0.03,1.12,0.4,0,4.36,2006,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"FALL","20 - SLEP",21,"21"
"304","JWC-Joe Wright @ Aspen Glen Campground",2022-11-08,1.68,2.12,2.96,2.8,0.25,7.06,545.45,65.68,1.99,0.03,0.83,1.59,8.24,0.03,1.22,0.2,0,4.45,2045,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"305","Poudre at Bellvue Diversion",2022-11-08,1.11,1.51,0.28,2.56,0.3,7.15,738.49,94.7,4.02,0.04,0.92,2.55,12.76,0.1,2.05,0.05,0,4.65,2055,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"FALL","25 - PBD",26,"26"
