Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Chambers Outflow,CHD,2022-09-27,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.53,0.57,3.41,6.91,491.11,55.79,1.57,0.07,0.85,1.43,7.45,0.06,0.62,0.08,0.12,2.52,2.56,0.15
Peterson Outlet,PTRO,2022-09-27,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,27.14,40.91,5.42,6.86,402.06,54.73,2.67,0.02,1.68,1.03,7.06,0.03,1.66,0.07,0,2.3,4.55,0.13
Peterson Reservoir,PTRR,2022-09-27,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,8.8,6.3,3.28,6.86,465.65,53.05,2.56,0.01,1.56,1.05,6.62,0.03,1.06,0.14,0,2.36,4.11,0.1
Comanche Inflow,COMI,2022-09-28,40.5858963,-105.6626,Comanche Reservoir,0.173174601127291,Burned,0.28,0.41,0.22,6.87,250,32.83,1.87,0.04,0.39,0.84,4.11,0.02,0.35,0.81,0.13,1.45,1.84,0.28
Comanche Outflow,COMO,2022-09-28,40.5846048,-105.6440011,Comanche Reservoir,0.24966832476956524,Burned,0.83,1,1.45,6.84,309.91,38.85,2.37,0.04,0.58,0.99,4.54,0.03,0.5,0.38,0.14,1.88,2.29,0.12
Comanche Reservoir,COMR,2022-09-28,40.5853086,-105.6455009,Comanche Reservoir,0.24966832476956524,Burned,1.65,2.35,1.84,6.94,370.83,40.14,2.28,0.05,0.58,1.08,4.68,0.02,0.51,0.32,0,1.78,2.39,0.15
Hourglass Inflow,HORI,2022-09-28,40.5805091,-105.6409321,Hourglass Reservoir,0.05085114281168797,Burned,0.16,0.2,0.34,6.85,159.22,22.66,1.44,0,0.37,0.66,2.93,0.03,0.2,0.7,0,1.23,1.08,0.17
Hourglass Outflow,HORO,2022-09-28,40.5828742,-105.6309523,Hourglass Reservoir,0.10162730589431843,Burned,5.52,3.78,11.07,6.94,443.05,38.7,1.69,0.02,0.49,0.68,3.45,0.02,0.4,0.33,0,1.02,2.4,0.13
Hourglass Reservoir,HORR,2022-09-28,40.582032,-105.6314023,Hourglass Reservoir,0.10162730589431843,Burned,2.29,1.61,12.31,6.92,349.61,33.88,1.8,0.02,0.54,0.85,3.49,0.04,0.27,0.22,0,0.89,2.44,0.11
Barnes Meadow Outflow,BMD,2022-10-04,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,3.57,1.38,1.77,6.97,598.97,86.77,3.09,0.07,1.08,1.56,11.84,0.04,1.71,0.41,0,8.2,5.96,0.59
Barnes Meadow Reservoir,BRNR,2022-10-04,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,1.82,1.19,3.8,6.97,564.07,82.46,3.02,0.02,0.98,1.6,11.78,0.05,1.7,0.18,0,6.93,5.96,0.35
Chambers Inlet,CBRI,2022-10-04,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,0.73,0.38,1.76,6.97,429.52,55.12,2.15,0,0.41,1.48,7.36,0.08,0.69,0.13,0,3.94,2.51,0.14
Chambers Reservoir,CBRR,2022-10-04,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,1.41,0.82,2.66,7.01,448.22,53.55,1.96,0.02,0.56,1.3,7.5,0.06,0.68,0.1,0,3.03,2.51,0.37
Chambers Outflow,CHD,2022-10-04,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.85,0.96,3.42,7.07,495.62,57.93,2.01,0.02,0.61,1.43,7.93,0.06,0.69,0.04,0,3.01,2.61,0.08
Peterson Outlet,PTRO,2022-10-04,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,9.26,8.08,3.48,6.94,415.25,54.6,3.13,0.01,1.16,0.93,6.76,0.04,1.46,0.14,0,2.75,4.08,0.21
Peterson Reservoir,PTRR,2022-10-04,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,9.53,8.3,1.59,6.9,358.58,48.77,2.73,0.01,1.13,0.88,5.83,0.04,1.34,0.18,0,2.57,3.65,0.2
Barnes Meadow Outflow,BMD,2022-10-11,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,2.21,2.18,4.62,7,633.7,89.3,3.12,0.05,1.08,1.56,11.89,0.03,1.73,0.34,0,8.33,6.02,0.41
Barnes Meadow Reservoir,BRNR,2022-10-11,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,1.86,0.97,4.9,7.02,559.54,83.54,3.12,0.01,1.02,1.66,11.85,0.02,1.72,0.12,0,6.9,5.79,0.26
Chambers Inlet,CBRI,2022-10-11,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,0.31,0.41,0.74,7.08,486.82,58.54,2.02,0.01,0.42,1.51,7.46,0.05,0.72,0.08,0,4,2.09,0.19
Chambers Reservoir,CBRR,2022-10-11,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,1.43,1.37,4.64,7.04,431.24,53.14,2.09,0.01,0.5,1.38,7.52,0.05,0.71,0.12,0,3.09,2.58,0.38
Chambers Outflow,CHD,2022-10-11,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.77,0.93,5.24,7.03,449.16,56.02,2.13,0.02,0.6,1.55,8.02,0.05,0.73,0.04,0,3.13,2.59,0.14
Peterson Outlet,PTRO,2022-10-11,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,21.75,20.2,6.63,7.01,397.99,53.24,3.08,0.02,1.08,0.88,6.55,0.02,1.54,0.08,0,2.89,4.05,0.23
Peterson Reservoir,PTRR,2022-10-11,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,5.03,5,2.99,6.94,364.51,47.13,2.66,0.01,1.1,0.9,5.88,0.03,1.44,0.12,0,2.58,4.1,0.2
Barnes Meadow Outflow,BMD,2022-10-18,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,1.42,0.8,4.5,7.07,611.91,84.97,2.91,0.01,0.88,1.47,12.06,0.05,1.69,0.17,0,7.06,6.19,0.29
Barnes Meadow Reservoir,BRNR,2022-10-18,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,3.45,2.22,3.74,7.07,593.45,81.64,2.91,0.02,0.89,1.45,11.49,0.05,1.67,0.15,0,7.07,6.26,0.26
Chambers Inlet,CBRI,2022-10-18,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,0.72,0.59,0.77,6.87,500.78,58.01,2.56,0.02,0.58,1.34,7.35,0.07,0.77,0.26,0,3.37,1.9,0.14
Chambers Reservoir,CBRR,2022-10-18,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,0.59,0.75,2.49,7.05,487.77,57.9,2.04,0.02,0.57,1.38,8.15,0.07,0.69,0.08,0,2.97,2.72,0.33
Chambers Outflow,CHD,2022-10-18,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.51,0.2,2.91,7.06,421.63,51.76,2.1,0.03,0.52,1.24,7.12,0.06,0.71,0.09,0,3.04,2.48,0.12
Peterson Outlet,PTRO,2022-10-18,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,13.12,13.08,3.62,6.84,381.7,50.96,2.99,0.02,1,0.84,6.32,0.02,1.33,0.07,0,2.93,3.57,0.25
Peterson Reservoir,PTRR,2022-10-18,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,11.61,8.2,6.88,6.81,359.02,46.28,2.31,0.01,1,0.83,5.61,0.04,1.17,0.13,0,2.66,3.87,0.19
Barnes Meadow Outflow,BMD,2022-10-25,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,2.69,3.9,4.23,7.09,680.22,88.77,2.84,0.02,0.98,1.5,12.21,0.04,1.64,0.18,0,7.11,5.99,0.38
Barnes Meadow Reservoir,BRNR,2022-10-25,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,3.32,3.54,4.37,7,602.34,82.11,2.8,0.01,0.84,1.51,11.31,0.02,1.71,0.15,0,7,6.01,0.26
Chambers Inlet,CBRI,2022-10-25,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2.63,2.35,0.72,6.99,512.33,59.25,2.66,0.01,0.54,1.37,7.49,0.05,0.8,0.14,0,3.44,2.12,0.21
Chambers Reservoir,CBRR,2022-10-25,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,1.98,1.47,3.92,7.09,466.81,56.31,1.94,0.01,0.5,1.41,8.03,0.05,0.72,0.07,0,3.03,2.62,0.33
Chambers Outflow,CHD,2022-10-25,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,1.15,1.05,0.7,7,461.23,55.61,2.14,0.02,0.54,1.31,7.45,0.04,0.74,0.08,0,2.97,2.72,0.15
Peterson Outlet,PTRO,2022-10-25,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,15.98,14.17,8.33,6.99,480.34,56.67,3.02,0.01,0.93,0.9,6.93,0.04,0.95,0.22,0.02,3.11,3.48,0.23
Peterson Reservoir,PTRR,2022-10-25,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,13.28,10.2,3.27,6.88,390.23,49,2.85,0,0.9,0.92,6.06,0.05,0.89,0.36,0,2.92,3.2,0.24
Barnes Meadow Outflow,BMD,2022-11-01,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.93,9.8,5.69,6.95,585.03,87.54,2.78,0.02,1.14,1.7,14.45,0.04,1.58,0.17,0,6.89,6.24,0.3
Barnes Meadow Reservoir,BRNR,2022-11-01,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.92,5.1,4.03,6.97,664.53,90.1,3.2,0.03,1.13,1.77,14.13,0.02,1.68,0.12,0,7.89,6.32,0.29
Chambers Inlet,CBRI,2022-11-01,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,0.3,0.4,0.78,7.01,512.28,61.43,2.56,0.02,0.79,1.63,7.78,0.04,0.78,0.16,0,3.41,1.86,0.23
Chambers Reservoir,CBRR,2022-11-01,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,1.15,1.32,3.74,6.97,447.28,56.43,1.99,0.02,0.79,1.52,8.31,0.04,0.73,0.07,0,2.98,2.79,0.23
Chambers Outflow,CHD,2022-11-01,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.84,0.6,3.84,6.96,453.57,52.32,1.91,0.03,0.78,1.47,7.43,0.04,0.7,0.06,0,2.98,2.74,0.11
JWC-Joe Wright @ Aspen Glen Campground,JWC,2014-09-15,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.59,346.52,40,1.41,0.02,0.72,1.01,5.3,0.05,0.36,0.07,0,1.92,2.71,0.14
Poudre Below Rustic,PBR,2014-09-15,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.6,352.09,45.6,1.61,0.02,0.69,1.2,5.9,0.12,0.45,0.15,0,3.89,2.61,0.16
Poudre Above Joe Wright,PJW,2014-09-15,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.5,274.41,43.3,1.25,0.01,0.54,1.03,5.65,0.19,0.2,0.38,0,5.44,2.48,0.21
Poudre Above North Fork,PNF,2014-09-15,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.67,439.8,53,2.14,0.03,0.72,1.42,6.5,0.13,0.77,0.07,0,3.99,2.71,0.14
Poudre Below S. Fork,PSF,2014-09-15,40.694953,-105.448748,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.61,515.51,46.6,1.79,0.03,0.68,1.22,5.85,0.12,0.49,0.1,0,3.81,2.63,0.15
Poudre South Fork,SFM,2014-09-15,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.56,334.83,41,2.57,0.03,0.61,1.15,4.67,0.14,0.54,0.02,0,2.38,3.3,0.15
Poudre Below Rustic,PBR,2015-01-16,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.8,609.43,66.7,3.15,0.04,0.91,1.93,7.41,0.09,1.44,0.36,0,3.18,2.54,0.21
Poudre Above North Fork,PNF,2015-01-16,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.86,766.23,86,4.38,0.05,0.9,2.44,9.43,0.14,2.36,0.63,0,4.35,1.95,0.26
Poudre South Fork,SFM,2015-01-16,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.78,594.17,65.8,3.4,0.02,0.84,1.89,7.22,0.12,1.35,0.49,0,3.4,2.8,0.21
Poudre Below Rustic,PBR,2015-03-18,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.79,594.41,64.8,3.16,0.02,0.89,1.84,7.05,0.09,1.55,0,0,2.86,2.48,0.15
Poudre Above North Fork,PNF,2015-03-18,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.88,775.4,88.6,4.51,0.03,0.97,2.55,9.62,0.15,2.84,0.3,0,4.88,2.59,0.22
Poudre South Fork,SFM,2015-03-18,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.76,605.17,65.4,3.44,0.01,0.9,1.89,7.11,0.12,1.46,0.11,0,3.25,2.42,0.17
JWC-Joe Wright @ Aspen Glen Campground,JWC,2015-04-20,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.75,504.9,57.8,2.45,0.03,0.89,1.33,6.88,0.06,1.34,0.05,0,2.36,4.63,0.23
Poudre Below Rustic,PBR,2015-04-20,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.69,487.17,55.7,2.92,0.02,0.87,1.57,6.1,0.07,1.25,0,0,2.7,4.89,0.19
Poudre Above Joe Wright,PJW,2015-04-20,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.53,324.13,37.8,2.12,0.03,0.68,1,4.3,0.06,0.46,0.15,0,1.75,6.26,0.3
Poudre Above North Fork,PNF,2015-04-20,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.78,629.15,87,4.73,0.04,0.98,2.37,9.53,0.15,3.66,1.22,0,5.19,4.98,0.46
Poudre South Fork,SFM,2015-04-20,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.72,504.97,58.5,3.18,0.02,0.81,1.66,6.29,0.09,1.33,0.16,0,3.4,4.41,0.22
JWC-Joe Wright @ Aspen Glen Campground,JWC,2015-06-08,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.55,385.34,41.5,1.77,0.02,0.82,1.07,5.23,0.04,0.5,0.49,0,1.82,4.74,0.33
Poudre Below Rustic,PBR,2015-06-08,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.35,248.58,32,1.71,0.02,0.66,0.9,3.74,0.06,0.46,0.48,0,1.97,6.35,0.32
Poudre Above Joe Wright,PJW,2015-06-08,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.14,162.72,25.6,1.24,0.01,0.57,0.67,3.02,0.08,0.28,0.9,0,2,7.08,0.39
Poudre Above North Fork,PNF,2015-06-08,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.46,344.59,42.7,2.24,0.03,0.73,1.18,4.91,0.1,0.94,0.53,0,2.64,6.45,0.34
Poudre South Fork,SFM,2015-06-08,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.35,258.97,33.8,1.85,0.02,0.65,0.93,3.85,0.08,0.5,0.5,0,2.16,6.39,0.32
JWC-Joe Wright @ Aspen Glen Campground,JWC,2015-06-22,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.51,308.42,35.9,1.42,0.02,0.74,0.9,4.4,0.05,0.35,0.93,0,1.64,3.89,0.34
Poudre Below Rustic,PBR,2015-06-22,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.38,241.21,31.9,1.61,0.02,0.63,0.83,3.57,0.08,0.4,0.96,0,1.78,4.88,0.4
Poudre Above Joe Wright,PJW,2015-06-22,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.24,157.51,24.9,1.25,0.02,0.47,0.65,2.8,0.1,0.21,1.07,0,1.72,5.24,0.4
Poudre Above North Fork,PNF,2015-06-22,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.53,310.16,39.2,2.05,0.03,0.63,1.05,4.32,0.11,0.74,0.74,0,2.24,5,0.38
Poudre South Fork,SFM,2015-06-22,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.43,255.1,32.7,1.71,0.02,0.58,0.87,3.56,0.09,0.43,0.72,0,1.85,4.97,0.37
JWC-Joe Wright @ Aspen Glen Campground,JWC,2015-07-13,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.56,320.09,35.8,1.42,0.02,0.72,0.87,4.37,0.05,0.35,0.81,0,1.61,3.02,0.3
Poudre Below Rustic,PBR,2015-07-13,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.58,317.29,39.1,1.66,0.02,0.62,1.01,4.44,0.09,0.38,0.62,0,2.43,3.3,0.27
Poudre Above Joe Wright,PJW,2015-07-13,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.4,222.6,32.2,1.34,0.02,0.49,0.8,3.78,0.14,0.2,0.92,0,3.04,3.75,0.33
Poudre Above North Fork,PNF,2015-07-13,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.68,293.24,51.2,2.48,0.02,0.69,1.4,5.73,0.13,0.96,0.77,0,3.07,3.91,0.33
Poudre South Fork,SFM,2015-07-13,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.58,343.44,41.9,1.99,0.02,0.64,1.12,4.73,0.11,0.49,0.65,0,2.66,3.81,0.31
JWC-Joe Wright @ Aspen Glen Campground,JWC,2015-08-17,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,6.88,332.05,38.1,1.53,0.02,0.78,0.99,5.11,0.06,0.29,0.56,0,1.91,2.59,0.31
Poudre Below Rustic,PBR,2015-08-17,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.46,371.43,44.3,1.76,0.01,0.7,1.19,5.48,0.13,0.4,0.45,0,3.48,2.5,0.23
Poudre Above Joe Wright,PJW,2015-08-17,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,6.7,193.11,40.6,1.4,0.02,0.61,1,5.26,0.19,0.27,0.7,0,5.02,3.11,0.26
Poudre Above North Fork,PNF,2015-08-17,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,6.97,294.18,61.9,2.57,0.03,0.8,1.57,6.79,0.13,0.94,0.19,0,3.69,3.5,0.3
Poudre South Fork,SFM,2015-08-17,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,6.9,216.89,48.3,2.04,0.03,0.74,1.25,5.5,0.07,0.5,0.19,0,3.43,3.01,0.27
Poudre Below Rustic,PBR,2015-09-14,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.81,613.37,66.4,3,0.03,1.05,1.94,7.6,0.13,1.33,0.48,0,3.58,2.01,0.22
Poudre Above Joe Wright,PJW,2015-09-14,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.56,349.1,39.8,2.07,0.02,0.56,0.96,4.18,0.16,0.34,0.34,0,3.09,2.09,0.2
Poudre Above North Fork,PNF,2015-09-14,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.45,699.7,79.7,3.9,0.04,1.01,2.25,9.3,0.17,2.1,0.43,0,4.31,4.68,0.26
Poudre South Fork,SFM,2015-09-14,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.82,587.32,65.2,3.15,0.03,0.89,1.8,6.99,0.15,1.07,0.37,0,3.26,2.21,0.2
JWC-Joe Wright @ Aspen Glen Campground,JWC,2015-10-12,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.8,618.24,62.3,2.38,0.02,0.94,1.51,7.96,0.07,0.97,0.03,0,2.24,2.64,0.13
Poudre Below Rustic,PBR,2015-10-12,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.85,682.37,74.5,3.57,0.03,1.11,2.17,7.9,0.15,2.44,0.04,0,3.75,1.83,0.11
Poudre Above Joe Wright,PJW,2015-10-12,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.62,374.21,45.5,2.26,0.02,0.62,1.11,4.77,0.15,0.54,0.17,0,3.49,1.91,0.13
Poudre Above North Fork,PNF,2015-10-12,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.96,897.5,98.2,5,0.05,1.12,2.77,10.71,0.2,3.66,0.09,0,5.04,2.17,0.12
Poudre South Fork,SFM,2015-10-12,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.84,660.53,72,3.54,0.03,0.92,1.94,7.2,0.16,1.52,0.01,0,3.51,2.1,0.09
JWC-Joe Wright @ Aspen Glen Campground,JWC,2015-11-09,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.85,710.02,74.5,3.11,0.02,1.17,1.71,9.27,0.08,1.36,0.13,0,2.41,2.69,0.15
Poudre Below Rustic,PBR,2015-11-09,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.88,694.41,75.6,3.96,0.03,1.2,2.27,8.01,0.13,1.94,0.27,0,3.65,1.67,0.13
Poudre Above Joe Wright,PJW,2015-11-09,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.65,394.29,45.1,2.88,0.02,0.89,1.14,4.65,0.13,0.55,0.69,0,2.44,1.9,0.24
Poudre Above North Fork,PNF,2015-11-09,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,8.02,1014.81,115.1,6.03,0.05,1.12,3.25,12.25,0.21,4.86,0.43,0,5.83,1.87,0.2
Poudre South Fork,SFM,2015-11-09,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.89,731.51,79.1,3.95,0.01,0.99,2.18,7.79,0.15,2.37,0.27,0,3.91,1.75,0.14
Poudre Above North Fork,PNF,2020-11-16,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.89,799.61,102.85,4.14,0.01,1.17,2.25,11.61,0.09,2.31,0.45,0,5.59,1.8,0.22
Poudre Above Joe Wright,PJW,2021-04-07,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,1.9,9.52,NA,7.18,350.32,41.68,1.78,0.05,1.21,1.09,4.01,0.09,0.61,0.83,0,2.19,5.48,0.63
JWC-Joe Wright @ Aspen Glen Campground,JWC,2021-04-07,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.39,482.68,52,2.15,0.01,0.8,1.08,5.55,0.04,0.55,0.1,0,2.5,2.64,0.23
Poudre Below Rustic,PBR,2021-04-07,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.31,586.51,63.56,5.12,0.02,1.04,2.56,4.4,0.11,0.79,0.06,0.07,2.51,1.86,0.19
Poudre Above North Fork,PNF,2021-04-07,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.82,1398.41,135.9,3.67,0.09,1.08,3.1,13.74,0.05,0.68,0.58,0,5.47,4.44,0.74
Poudre Below S. Fork,PSF,2021-04-07,40.694953,-105.448748,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.34,550.29,92.89,2.28,0,1.28,2.77,9.9,0.07,1.42,0.12,0,12.23,4.99,0.31
Poudre South Fork,SFM,2021-04-07,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.36,404.05,50.82,3,0.08,0.78,1.29,5.01,0.08,0.76,0.61,0,3.56,6.44,0.52
Poudre Above Joe Wright,PJW,2021-04-12,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,1.5,0.98,NA,7.08,347.11,42.65,1.98,0.01,1.06,1.11,4.02,0.11,0.69,0.29,0,2.21,6.08,0.62
JWC-Joe Wright @ Aspen Glen Campground,JWC,2021-04-12,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.26,503.64,49.26,1.82,0.02,0.72,1.11,5.09,0.05,0.8,0.11,0,2.52,2.93,0.18
Poudre Below Rustic,PBR,2021-04-12,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.45,624.54,64.23,2.18,0.01,0.97,1.74,6.21,0.07,1.39,0.08,0,3.05,4.53,0.27
Poudre Above North Fork,PNF,2021-04-12,40.702459,-105.241588,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.55,743.27,91.12,4.21,0.01,1.12,2.09,10.98,0.11,2.56,0.43,0,5.39,4.87,0.25
Poudre Below S. Fork,PSF,2021-04-12,40.694953,-105.448748,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.36,503.4,68.96,2.66,0.01,0.94,1.85,6.26,0.11,1.41,0.13,0,3.3,4.88,0.33
Poudre South Fork,SFM,2021-04-12,40.61825,-105.525583,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.33,393.02,49.64,2.89,0.01,0.8,1.22,5.03,0.08,0.81,0.62,0,3.64,5.19,0.48
Poudre Above Joe Wright,PJW,2021-04-19,40.634567,-105.807017,CLP Mainstem-Canyon,NA,Partially Burned,1.4,0,NA,7.27,381.18,42.42,2.02,0.01,0.99,1.08,4.12,0.12,0.65,0.3,0,2.29,4.29,0.44
JWC-Joe Wright @ Aspen Glen Campground,JWC,2021-04-19,40.62055,-105.8183,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.37,499.82,52.97,1.72,0.01,0.78,1.21,5.55,0.05,0.59,0.05,0,2.5,4.12,0.3
Poudre Below Rustic,PBR,2021-04-19,40.700221,-105.544028,CLP Mainstem-Canyon,NA,Partially Burned,NA,NA,NA,7.47,574.46,62.08,2.77,0.01,0.94,1.72,6.01,0.07,1.41,0.11,0,2.95,3.69,0.23
