Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Peterson Reservoir,PTRR,2021-06-30,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,15.5,1.7,2.17,6.95,179.26,38.2,1.47,0.08,1.21,0.73,4.93,0.04,0.76,0.01,0,6.27,7.73,0.97
Barnes Meadow Outflow,BMD,2021-07-07,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,13,7.3,0.5,6.81,415.86,76.7,2.36,0.15,1.17,1.49,9.96,0.04,1.67,0.18,0,10.53,7.03,0.51
Barnes Meadow Reservoir,BRNR,2021-07-07,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,19,0.7,1.23,7.2,427.88,79.26,2.41,0.04,1.27,1.72,10,0.06,1.75,0.15,0,10.86,7.16,0.4
Chambers Inlet,CBRI,2021-07-07,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,7,0.3,0.56,7.06,354.5,44.29,1.65,0.04,0.65,1.1,5.97,0.04,0.51,0.19,0,2.89,2.76,0.28
Chambers Reservoir,CBRR,2021-07-07,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,17,2.3,2.13,7.33,297.13,42.25,1.39,0.04,0.72,1.05,5.54,0.07,0.48,0.11,0,3.2,3.14,0.23
Chambers Outflow,CHD,2021-07-07,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,10,NA,1.22,6.98,383.65,52.49,1.9,0.04,0.98,1.27,7.41,0.04,0.61,0.17,0,3.76,2.7,0.17
Peterson Outlet,PTRO,2021-07-07,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,1.8,0,0.51,7,136.86,40.25,1.64,0.15,1.24,0.76,5.21,0.02,0.76,0.12,0,6.53,7.22,0.55
Peterson Reservoir,PTRR,2021-07-07,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,13,1.3,0.49,6.74,171.36,40.99,1.58,0.16,1.18,0.76,4.87,0.02,0.74,0.11,0,6.48,7.51,0.62
Comanche Inflow,COMI,2021-07-09,40.5858963,-105.6626,Comanche Reservoir,0.173174601127291,Burned,9,NA,0.43,6.74,123.96,18.97,1.36,0.02,0.24,0.46,2.36,0.02,0.21,0.27,0,1.33,2.75,0.22
Comanche Outflow,COMO,2021-07-09,40.5846048,-105.6440011,Comanche Reservoir,0.24966832476956524,Burned,12,NA,2.33,6.77,154.21,23.99,1.47,0.04,0.32,0.57,2.71,0.02,0.2,0.36,0,1.77,2.85,0.28
Comanche Reservoir,COMR,2021-07-09,40.5853086,-105.6455009,Comanche Reservoir,0.24966832476956524,Burned,13,NA,0.29,6.75,171.14,24.5,1.54,0.1,0.35,0.59,2.86,0.02,0.24,0.35,0,1.94,2.91,0.27
Hourglass Inflow,HORI,2021-07-09,40.5805091,-105.6409321,Hourglass Reservoir,0.05085114281168797,Burned,8,NA,0.7,6.66,108.86,16.55,1.08,0.01,0.26,0.39,1.79,0.02,0.13,0.26,0,1.19,1.89,0.21
Hourglass Outflow,HORO,2021-07-09,40.5828742,-105.6309523,Hourglass Reservoir,0.10162730589431843,Burned,14,NA,1.7,6.74,116.01,18.61,1.12,0.04,0.32,0.44,2.31,0.02,0.29,0.11,0,1.38,2.58,0.21
Hourglass Reservoir,HORR,2021-07-09,40.582032,-105.6314023,Hourglass Reservoir,0.10162730589431843,Burned,14,NA,1.36,6.71,110.49,17.49,1.1,0.03,0.31,0.44,2.08,0.02,0.16,0.18,0,1.36,2.55,0.21
Barnes Meadow Outflow,BMD,2021-07-14,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,15,7.39,1.39,6.81,409.34,78.97,2.43,0.29,1.2,1.48,9.62,0.03,1.67,0.23,0,10.76,7.19,0.62
Barnes Meadow Reservoir,BRNR,2021-07-14,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.5,NA,2.19,7.19,467.15,80.81,2.47,0.03,1.23,1.55,9.83,0.03,1.69,0.18,0,11.8,7.1,0.31
Chambers Inlet,CBRI,2021-07-14,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2,NA,0.4,7.11,390.19,47.26,1.79,0.03,0.67,1.12,5.88,0.07,0.53,0.19,0,2.89,2.63,0.21
Chambers Reservoir,CBRR,2021-07-14,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,4,NA,1.69,7.21,316.75,44.45,1.44,0.03,0.68,0.97,5.48,0.06,0.44,0.14,0,3.14,2.89,0.19
Chambers Outflow,CHD,2021-07-14,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,2.5,0.73,1.29,7.05,421.53,52.25,1.83,0.02,0.94,1.17,7.15,0.06,0.49,0.17,0,3.41,2.57,0.19
Peterson Outlet,PTRO,2021-07-14,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,3,0.54,0.52,6.99,202.02,45.57,1.77,0.14,1.39,0.87,5.97,0.03,0.77,0.17,0,6.66,7.23,0.54
