SurfTemp,sd_SurfTempSD,min_SurfTempMin,max_SurfTempMax,pCount_SurfTemp,system:index
266.34746264,1.1030088175438153,264.45387956,269.85435115999996,24,1_1_1_LT05_033032_19861221_2897135
,,,,0,1_1_1_LT05_033032_19861221_2896951
,,,,0,1_1_1_LT05_033032_19861221_2897377
,,,,0,1_1_1_LT05_033032_19861221_2897339
,,,,0,1_1_1_LT05_033032_19861221_167246041
,,,,0,1_1_1_LT05_033032_19861221_2897311
,,,,0,1_1_1_LT05_033032_19861221_2897379
276.29390084,6.823937919616057E-6,276.29390084,276.29390084,20,1_1_1_LT05_033032_19861221_2897349
,,,,0,1_1_1_LT05_033032_19870106_2897135
,,,,0,1_1_1_LT05_033032_19870106_2896951
,,,,0,1_1_1_LT05_033032_19870106_2897377
,,,,0,1_1_1_LT05_033032_19870106_2897339
,,,,0,1_1_1_LT05_033032_19870106_167246041
,,,,0,1_1_1_LT05_033032_19870106_2897311
,,,,0,1_1_1_LT05_033032_19870106_2897379
262.59105866,0.28852118866566134,262.59105866,263.23364642,25,1_1_1_LT05_033032_19870106_2897349
,,,,0,1_1_1_LT05_033032_19870122_2897135
,,,,0,1_1_1_LT05_033032_19870122_2896951
,,,,0,1_1_1_LT05_033032_19870122_2897377
,,,,0,1_1_1_LT05_033032_19870122_2897339
,,,,0,1_1_1_LT05_033032_19870122_167246041
,,,,0,1_1_1_LT05_033032_19870122_2897311
,,,,0,1_1_1_LT05_033032_19870122_2897379
273.21426482,0.1870664438051567,273.21426482,273.76456604,15,1_1_1_LT05_033032_19870122_2897349
288.83461622,0.6611135976319681,288.31849520000003,290.87859218,15,1_1_1_LT05_033032_19870428_2897135
,,,,0,1_1_1_LT05_033032_19870428_2896951
,,,,0,1_1_1_LT05_033032_19870428_2897377
,,,,0,1_1_1_LT05_033032_19870428_2897339
,,,,0,1_1_1_LT05_033032_19870428_167246041
,,,,0,1_1_1_LT05_033032_19870428_2897311
,,,,0,1_1_1_LT05_033032_19870428_2897379
283.91608543999996,0.7072846508327939,281.74564274,284.45271458,24,1_1_1_LT05_033032_19870428_2897349
,,,,0,1_1_1_LT05_033032_19870514_2897135
,,,,0,1_1_1_LT05_033032_19870514_2896951
,,,,0,1_1_1_LT05_033032_19870514_2897377
