IDNo,Site,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 888,Long Draw Outlet,LNGO,18-Aug-21,NORM,3.25,1.6,0.49,6.96,365.62,55.32,1.01,0.04,0.57,1.09,7.93,0.28,0.18,0.53,0,7.4
FCW 889,Long Draw Outlet,LNGO,18-Aug-21,DUPLICATE,3,0.7,0.51,6.98,368.97,55.03,1.02,0.04,0.6,1.07,7.89,0.29,0.2,0.58,0,7.5
FCW 960,Long Draw Outlet,LNGO,25-Aug-21,NORM,3.75,2.02,0.66,6.89,344.07,52.14,1.05,0.07,0.58,0.95,7.56,0.25,0.16,0.54,0,7.52
FCW 986,Long Draw Outlet,LNGO,1-Sep-21,NORM,4,14.6,0.97,7.04,344.48,52.71,1.02,0.04,0.59,1.01,7.45,0.25,0.17,0.48,0,7.34
FCW 998,Long Draw Outlet,LNGO,8-Sep-21,NORM,7,2.65,1.2,6.93,296.38,51.7,1.1,0.04,0.58,0.9,6.92,0.27,0.16,0.46,0,8.52
FCW 1046,Long Draw Outlet,LNGO,15-Sep-21,NORM,6.7,1.49,1.8,7.05,292.56,49.26,1.17,0.03,0.66,0.85,6.03,0.27,0.18,0.39,0,8.76
FCW 1086,Long Draw Outlet,LNGO,22-Sep-21,NORM,6,,2.57,6.96,309.08,49.74,1.23,0.06,0.64,0.87,6.41,0.27,0.18,0.3,0,8.44
FCW 1087,Long Draw Outlet,LNGO,22-Sep-21,DUPLICATE,6.5,,2.55,6.98,319.32,49.38,1.23,0.05,0.64,0.82,6.26,0.27,0.21,0.3,0,8.47
FCW 1098,Long Draw Outlet,LNGO,28-Sep-21,NORM,10.6,,1.97,7,311.06,46.46,1.13,0.05,0.61,0.83,5.7,0.29,0.21,0.19,0,8.39
FCW 1165,Long Draw Outlet,LNGO,13-Oct-21,NORM,14,12.96,1.05,7.01,329.23,46.64,1.74,0.09,0.77,0.99,5.27,0.22,0.35,0.15,0,6.41
FCW 1478,Long Draw Outlet,LNGO,14-Jun-22,NORM,,,1.73,7.1,201.25,35.54,0.93,0.01,0.59,0.99,5.02,0.1,0.19,0.73,0,4.21
FCW 1527,Long Draw Outlet,LNGO,23-Jun-22,NORM,5.4,3.2,0.85,7.18,247.35,38.29,0.86,0.01,0.57,1,6.12,0.21,0.18,0.6,0,4.43
FCW 1543,Long Draw Outlet,LNGO,28-Jun-22,NORM,3.29,0.8,1.06,7.15,223.5,36.4,0.85,0.02,0.52,0.85,5.15,0.19,0.15,0.6,0,4.7
FCW 1575,Long Draw Outlet,LNGO,5-Jul-22,NORM,1.85,1.4,1.05,7.15,212.02,39.93,0.82,0.02,0.54,1.03,6.11,0.19,0.16,0.54,0,5.44
FCW 1605,Long Draw Outlet,LNGO,12-Jul-22,NORM,0.79,1.2,0.69,7.09,239.78,42.34,0.84,0.02,0.56,1.14,6.45,0.2,0.17,0.44,0,5.66
FCW 1639,Long Draw Reservoir,LNGO,19-Jul-22,NORM,2.1,1.2,1.66,7,295.61,46.56,0.88,0.04,0.47,1.08,6.08,0.18,0.13,0.38,0,6.75
FCW 1660,Long Draw Outlet,LNGO,26-Jul-22,NORM,0.47,0.89,1.75,6.91,343.34,56.69,0.92,0.03,0.47,1.25,7.76,0.18,0.12,0.66,0,8.93
FCW 1661,Long Draw Outlet,LNGO,26-Jul-22,BLANK,0.01,0.01,,5.27,3.08,2.23,0.04,0.02,0.02,0.06,0.06,0,0.03,0,0,0.01
FCW 1688,Long Draw Outlet,LNGO,2-Aug-22,NORM,4.29,2.75,1.48,6.94,291.35,51.64,0.9,0.02,0.49,1.29,7.72,0.17,0.12,0.57,0,8.52
FCW 1707,Long Draw Outlet,LNGO,9-Aug-22,NORM,9.08,9.39,0.47,7.01,299.98,53.04,0.91,0.05,0.5,1.26,7.81,0.13,0.11,0.52,0,9.15
FCW 1718,Long Draw Outlet,LNGO,16-Aug-22,NORM,30.54,32.02,,6.9,270.79,52.17,0.95,0.05,0.54,1.22,7.83,0.16,0.11,0.47,0,8.96
FCW 1740,Long Draw Outlet,LNGO,23-Aug-22,NORM,0.7,1.2,0.84,6.92,325.37,49.31,0.89,0.04,0.49,0.98,6.75,0.17,0.13,0.39,0,7.6
FCW 1780,Long Draw Outlet,LNGO,30-Aug-22,NORM,3.73,3.77,0.85,6.93,235.8,44.91,0.88,0.06,0.47,0.96,6.66,0.14,0.11,0.33,0,7.45
FCW 1801,Long Draw Outlet,LNGO,6-Sep-22,NORM,1.34,1.7,0.6,6.98,355.02,51.32,1.01,0.03,0.6,1.05,7.55,0.15,0.1,0.38,0,7.74
FCW 1832,Long Draw Outlet,LNGO,13-Sep-22,NORM,0.55,0.98,1.02,7.23,511.39,70.79,1.08,0.03,0.59,1.34,10.56,0.13,0.13,0.43,0,9.24
FCW 1891,Long Draw Outlet,LNGO,20-Sep-22,NORM,2.49,3.36,4.11,6.95,360.37,57.18,1.02,0.04,0.52,1.33,8.01,0.26,0.12,0.35,0,9.04
FCW 1921,Long Draw Outlet,LNGO,27-Sep-22,NORM,0.91,0.96,3.63,6.9,419.7,68.14,1.17,0.02,0.62,1.52,9.62,0.28,0.14,0.31,0,9.93
FCW 1943,Long Draw Outlet,LNGO,4-Oct-22,NORM,0.95,0.99,3.65,6.86,424.58,64.1,1.53,0.02,0.41,1.43,8.86,0.26,0.19,0.21,0,9.44
FCW 1971,Long Draw Outlet,LNGO,11-Oct-22,NORM,0.84,0.8,2.19,6.97,423.25,63.53,1.44,0.01,0.39,1.42,8.58,0.19,0.14,0.18,0,9.21
FCW 1982,Long Draw Outlet,LNGO,18-Oct-22,NORM,0.77,0.8,1.87,6.92,401.03,60.25,1.31,0.01,0.32,1.41,8.21,0.12,0.12,0.14,0,9.02
FCW 2014,Long Draw Outlet,LNGO,25-Oct-22,NORM,7.53,8.69,1.71,6.93,412.39,61.22,1.5,0.01,0.65,1.37,8.41,0.22,0.13,0.24,0,8.13
FCW 161,Long Draw Reservoir,LNGR,20-Oct-20,NORM, , ,,6.9,203.46,27.52,1.01,0.02,0.59,1.19,1.94,0.22,0.14,0.09,0,1.98
FCW 442,Long Draw Reservoir,LNGR,2-Jun-21,NORM, ,1,0.27,6.77,157.14,27.29,0.86,0.03,0.53,0.7,4.04,0.09,0.32,0.4,0,2.97
FCW 481,Long Draw Reservoir,LNGR,9-Jun-21,NORM,4.1,1,0.48,6.69,175.94,30.63,0.8,0.02,0.48,0.71,4.62,0.11,0.55,0.53,0,3.1
FCW 509,Long Draw Reservoir,LNGR,16-Jun-21,NORM, ,2,0.47,6.59,202.93,32.63,0.84,0.03,0.5,0.78,4.84,0.21,0.23,0.57,0,3.95
FCW 547,Long Draw Reservoir,LNGR,23-Jun-21,NORM,4.7,7.82,,6.98,222.44,38.44,0.85,0.03,0.51,0.91,5.26,0.21,0.19,0.54,0,4.51
FCW 607,Long Draw Reservoir,LNGR,30-Jun-21,NORM,11,0.1,0.51,7.15,448.99,45.88,0.83,0.02,0.47,0.8,5.2,0.22,0.18,0.45,0,4.54
FCW 619,Long Draw Reservoir,LNGR,7-Jul-21,NORM,11,0.7,0.92,6.97,212.52,38.44,0.92,0.02,0.47,0.86,5.11,0.18,0.16,0.49,0,4.88
FCW 655,Long Draw Reservoir,LNGR,14-Jul-21,NORM,3, ,1.97,6.97,221.2,41.57,0.96,0.02,0.49,1.03,5.75,0.19,0.16,0.41,0,5.25
FCW 733,Long Draw Reservoir,LNGR,28-Jul-21,NORM,5,1.8,0.3,7.02,218.2,39.04,0.95,0.02,0.49,0.94,5.64,0.19,0.17,0.4,0,5.01
FCW 734,Long Draw Reservoir,LNGR,28-Jul-21,DUPLICATE,4.5,1.55,0.31,6.88,236.02,41.31,0.93,0.04,0.54,1.05,5.99,0.17,0.21,0.42,0,5.92
FCW 809,Long Draw Reservoir,LNGR,4-Aug-21,NORM, ,,0.32,6.88,237.68,41.91,0.89,0.03,0.52,0.99,6.07,0.23,0.18,0.4,0,6.2
FCW 870,Long Draw Reservoir,LNGR,11-Aug-21,NORM,4,,0.42,6.99,265.52,43.88,0.95,0.03,0.56,1.11,6.85,0.23,0.17,0.44,0,6.45
FCW 887,Long Draw Reservoir,LNGR,18-Aug-21,NORM,3.75,0.78,0.79,6.96,244.19,44.94,0.99,0.02,0.58,1.09,7.02,0.27,0.22,0.51,0,7.09
FCW 959,Long Draw Reservoir,LNGR,25-Aug-21,NORM,3.5,0.71,0.47,7.03,282.06,50.84,1.1,0.05,0.57,0.97,6.67,0.26,0.19,0.54,0.04,7.57
FCW 985,Long Draw Reservoir,LNGR,1-Sep-21,NORM,3.75,,0.77,6.9,299.4,48.71,1.03,0.02,0.6,1.03,6.51,0.3,0.18,0.5,0,7.49
FCW 997,Long Draw Reservoir,LNGR,8-Sep-21,NORM,6,0.6,1.07,6.96,273.78,43.22,1.09,0.03,0.58,0.92,5.04,0.28,0.17,0.47,0,8.58
FCW 1045,Long Draw Reservoir,LNGR,15-Sep-21,NORM,5.2,1.73,1.49,7.03,294.03,48.97,1.23,0.05,0.68,0.84,5.54,0.27,0.18,0.42,0,8.8
FCW 1085,Long Draw Reservoir,LNGR,22-Sep-21,NORM,5.5,,2.27,6.97,309.51,48.47,1.21,0.03,0.65,0.9,5.66,0.27,0.17,0.31,0,8.41
FCW 1097,Long Draw Reservoir,LNGR,28-Sep-21,NORM,5.9,,1.69,6.97,293.01,45.88,1.15,0.06,0.61,0.9,5.12,0.29,0.24,0.2,0,8.32
FCW 1164,Long Draw Reservoir,LNGR,13-Oct-21,NORM,12,2.83,2.18,6.98,290.69,44.06,1.22,0.02,0.61,0.82,4.93,0.26,0.23,0.21,0,7.66
FCW 1477,Long Draw Reservoir,LNGR,14-Jun-22,NORM,2.99,3.6,1.37,7.05,198.12,34.23,0.87,0.01,0.62,0.72,4.98,0.1,0.2,0.7,0,4.12
FCW 1526,Long Draw Reservoir,LNGR,23-Jun-22,NORM,5.43,2,0.8,7.15,222.96,38.13,0.94,0.01,0.59,1.04,6.21,0.12,0.19,0.61,0,4.38
FCW 1542,Long Draw Reservoir,LNGR,28-Jun-22,NORM,4.14,1,0.89,7.16,268.23,39.17,0.89,0.02,0.55,0.82,5.71,0.17,0.27,0.56,0,4.59
FCW 1574,Long Draw Reservoir,LNGR,5-Jul-22,NORM,3.05,1.2,0.53,7.15,337,43.67,0.8,0.01,0.54,1.04,5.86,0.18,0.17,0.54,0,5.32
FCW 1604,Long Draw Reservoir,LNGR,12-Jul-22,NORM,0.47,1.2,1.23,7.06,303,45,0.9,0.01,0.59,1.09,5.99,0.2,0.27,0.44,0,5.56
FCW 1640,Long Draw Outlet,LNGR,19-Jul-22,NORM,1.72,1.2,2.23,6.99,299.71,52.88,0.88,0.05,0.47,1.28,7.9,0.12,0.13,0.66,0,8.55
FCW 1659,Long Draw Reservoir,LNGR,26-Jul-22,NORM,2.7,2.5,1.68,7,312.32,49.05,0.91,0.03,0.49,1.17,7.35,0.09,0.12,0.42,0,7.18
FCW 1687,Long Draw Reservoir,LNGR,2-Aug-22,NORM,8.89,10.4,1.2,7.04,333.16,53.29,1.04,0.03,0.49,0.97,7.02,0.18,0.17,0.32,0.08,7.13
FCW 1705,Long Draw Reservoir,LNGR,9-Aug-22,NORM,0.93,1.41,0.46,6.97,337.1,49.3,0.89,0.04,0.5,1.12,6.88,0.23,0.17,0.34,0,6.74
FCW 1706,Long Draw Reservoir,LNGR,9-Aug-22,DUPLICATE,0.83,1.39,0.42,6.92,328.5,48.91,0.85,0.03,0.48,1.07,6.74,0.23,0.11,0.38,0,6.59
FCW 1717,Long Draw Reservoir,LNGR,16-Aug-22,NORM,0.24,0.37,0.77,6.92,271.79,49.99,1.41,0.04,0.58,1.15,7.27,0.26,0.24,0.41,0,7.3
FCW 1739,Long Draw Reservoir,LNGR,23-Aug-22,NORM,4.81,4,0.82,6.91,299.24,48.5,1.39,0.02,0.51,1.01,6.63,0.17,0.14,0.36,0,7.39
FCW 1779,Long Draw Reservoir,LNGR,30-Aug-22,NORM,8,6.63,1.22,6.93,319.03,51.01,1.12,0.02,0.54,1.12,6.78,0.28,0.21,0.38,0,7.44
FCW 1800,Long Draw Reservoir,LNGR,6-Sep-22,NORM,2.35,1.42,0.66,6.98,328.73,52.73,0.99,0.02,0.58,1.26,7.11,0.04,0.1,0.35,0,7.51
FCW 1831,Long Draw Reservoir,LNGR,13-Sep-22,NORM,0.59,0.5,0.67,6.85,368.15,60.46,1.1,0.04,0.61,1.39,8.43,0.05,0.14,0.46,0,9.15
FCW 1890,Long Draw Reservoir,LNGR,20-Sep-22,NORM,3.53,1.67,1.5,6.89,366.31,58.71,1.08,0.07,0.55,1.41,7.73,0.25,0.12,0.39,0,9.33
FCW 1919,Long Draw Reservoir,LNGR,27-Sep-22,NORM,0.93,1,2.4,6.83,382.92,60.84,1.05,0.03,0.54,1.37,8.31,0.25,0.13,0.32,0,9.96
FCW 1920,Long Draw Reservoir,LNGR,27-Sep-22,DUPLICATE,0.94,0.93,2.69,6.82,384.28,61.91,1.11,0.02,0.54,1.44,8.28,0.27,0.15,0.35,0,10.07
FCW 1942,Long Draw Reservoir,LNGR,4-Oct-22,NORM,0.77,1.11,3.69,6.97,366.54,61.47,1.48,0.02,0.36,1.39,8.52,0.28,0.17,0.24,0,9.64
FCW 1970,Long Draw Reservoir,LNGR,11-Oct-22,NORM,1.04,1,2.92,6.94,323.59,60.59,1.46,0.01,0.34,1.44,8.63,0.12,0.16,0.21,0,9.89
FCW 1981,Long Draw Reservoir,LNGR,18-Oct-22,NORM,0.62,1.6,2.2,6.79,348.16,58.08,1.34,0.02,0.32,1.37,8.44,0.13,0.14,0.18,0,9.66
FCW 2013,Long Draw Reservoir,LNGR,25-Oct-22,NORM,0.49,0.28,1.72,6.8,420.56,66.88,1.65,0.01,0.4,1.55,8.94,0.23,0.22,0.08,0,10.16
FCW 441,North Joe Wright Creek,NJOE,1-Jun-21,NORM,1.5,2.04,,7.13,395.69,58.66,1.65,0.03,0.91,1.36,7.8,0.04,0.69,0.56,0,7.41
FCW 476,North Joe Wright Creek,NJOE,8-Jun-21,NORM,5,,,7,328.17,48.66,1.2,0.03,0.57,1.35,6.53,0.06,0.51,0.49,0,4.77
FCW 497,North Joe Wright Creek,NJOE,15-Jun-21,NORM,1.5,4,,7.11,305.96,37.77,1.09,0.01,0.42,1.11,5.72,0.01,0.23,0.05,0,3.07
FCW 541,North Joe Wright Creek,NJOE,22-Jun-21,NORM,2.2,0,,7.21,385.06,43.4,1.23,0.02,0.45,1.17,5.72,0.02,0.27,0.15,0,2.94
FCW 575,North Joe Wright Creek,NJOE,29-Jun-21,NORM,1.6,0,,7.2,445.72,50.02,1.46,0.02,0.41,1.34,6.67,0.08,0.21,0.11,0,3.45
FCW 640,North Joe Wright Creek,NJOE,13-Jul-21,NORM,3,2.88,,7.27,513.62,59.8,1.84,0.02,0.53,1.81,8.71,0.03,0.16,0.16,0,3.23
FCW 704,North Joe Wright Creek,NJOE,27-Jul-21,NORM,2,7,,7.28,662.85,70.83,2.01,0.02,0.48,1.79,8.47,0.04,0.17,0.18,0,3.27
FCW 705,North Joe Wright Creek,NJOE,27-Jul-21,DUPLICATE,2.5,0,,7.27,672.81,70.19,2.03,0.02,0.48,1.85,8.7,0.04,0.17,0.17,0,3.32
FCW 806,North Joe Wright Creek,NJOE,4-Aug-21,NORM,3,,,7.27,629.73,73.91,2.1,0.02,0.64,1.86,9.29,0.04,0.34,1.01,0.79,3.94
FCW 866,North Joe Wright Creek,NJOE,10-Aug-21,NORM,3,6.21,,7.49,626.22,71.13,1.94,0.04,0.73,1.85,10.25,0.06,0.27,0.18,0,3.72
FCW 945,North Joe Wright Creek,NJOE,24-Aug-21,NORM,4.25,10.55,,7.43,678.73,72.03,2.17,0.04,0.76,1.72,9.69,0.04,0.32,0.18,0,3.71
FCW 946,North Joe Wright Creek,NJOE,24-Aug-21,DUPLICATE,4.5,2.74,,7.46,665.22,71.21,2.07,0.04,0.77,1.73,9.74,0.06,0.32,0.16,0,3.68
FCW 1026,North Joe Wright Creek,NJOE,14-Sep-21,NORM,2.1,2.1,,7.49,702.29,67.76,1.49,0,0.81,1.15,7.34,0.05,0.52,0.14,0,5.5
FCW 1111,North Joe Wright Creek,NJOE,29-Sep-21,NORM,3,,,7.33,669.58,59.56,1.91,0.03,0.91,1.21,6.06,0.06,0.6,0.07,0,3.72
FCW 1189,North Joe Wright Creek,NJOE,12-Oct-21,NORM,2.8,,,7.31,688.96,62.08,2,0.01,0.92,1.09,6,0.04,0.61,0.08,0,3.82
FCW 1230,North Joe Wright Creek,NJOE,27-Oct-21,NORM,3,3.2,,7.44,697.39,66.43,3.16,0.02,0.97,1.1,5.69,0.06,0.6,0.16,0,4.82
FCW 1278,North Joe Wright Creek,NJOE,3-Dec-21,NORM,2.5,2.8,,7.54,646.84,63.4,3.17,0.01,0.79,1.12,5.34,0.02,0.66,1.18,0,4.53
FCW 221,Poudre at Bellvue Diversion,PBD,16-Nov-20,NORM, , ,,7.63,549.81,78.86,4.82,0.01,0.99,1.4,7.72,0.11,2.95,0.34,0,5.82
FCW 234,Poudre at Bellvue Diversion,PBD,7-Apr-21,NORM,4.1,0,,8.01,683.12,90.58,5.89,0.01,1.33,2.01,8.25,0.34,3.21,0.36,0,4.83
FCW 249,Poudre at Bellvue Diversion,PBD,12-Apr-21,NORM,5,0,,7.75,931.98,108.43,6.01,0.01,1.33,2.39,12.31,0.21,3.33,0.34,0,4.98
FCW 271,Poudre at Bellvue Diversion,PBD,19-Apr-21,NORM,3.25,0,,7.79,989.12,120.37,6.32,0.01,1.31,2.57,15.23,0.22,3.38,0.29,0,5.01
FCW 293,Poudre at Bellvue Diversion,PBD,26-Apr-21,NORM,7.25,10,,7.8,1205.61,141.93,6.01,0.01,1.29,3.01,18.2,0.25,3.78,0.25,0,5.02
FCW 333,Poudre at Bellvue Diversion,PBD,3-May-21,NORM,9,39.7,,7.52,702.23,124.57,4.4,0.01,0.91,2.54,15.4,0.36,6.19,0.59,0,10.45
FCW 357,Poudre at Bellvue Diversion,PBD,10-May-21,NORM,5.4,12,,7.48,671.64,86.79,2.05,0.03,0.85,1.79,7.71,0.13,5.32,0.49,0.06,10.62
FCW 393,Poudre at Bellvue Diversion,PBD,17-May-21,NORM,6.8,22,,7.69,631.71,89.92,2.58,0.06,0.98,1.87,7.89,0.27,4.38,0.45,0,9.72
FCW 405,Poudre at Bellvue Diversion,PBD,24-May-21,NORM,2,23.76,,7.24,538.19,83.22,3.95,0.05,1.02,2.04,9.2,0.19,3.71,0.44,0,7.65
FCW 464,Poudre at Bellvue Diversion,PBD,7-Jun-21,NORM,11,,,6.99,388.71,53.83,2.5,0.02,0.7,1.35,6.11,0.13,1.65,0.3,0,4.26
FCW 942,Poudre at Bellvue Diversion,PBD,23-Aug-21,NORM,6.75,28.07,,7.28,493.92,62.21,3.23,0.03,0.95,1.34,7.42,0.15,1.23,0.13,0,4.66
FCW 1200,Poudre at Bellvue Diversion,PBD,8-Oct-21,NORM,2.6,,,7.83,550.49,64.23,3.29,0.03,0.98,1.39,6.34,0.13,1.26,0.44,0,5.08
FCW 1250,Poudre at Bellvue Diversion,PBD,5-Nov-21,NORM,,1.8,,8.06,660.41,81.45,6.25,0.01,1.09,1.84,7.37,0.13,1.83,0.37,0,5.53
FCW 1271,Poudre at Bellvue Diversion,PBD,29-Nov-21,NORM,,0.5,,8.01,490.48,72.03,5.13,0.03,1.1,1.61,6.18,0.13,3.14,0.25,0,5.73
FCW 1290,Poudre at Bellvue Diversion,PBD,14-Dec-21,NORM,,1.9,,7.86,459.81,73.41,3.07,0.02,1.18,1.92,7.53,0.09,3.99,0.33,0,6.96
FCW 1328,Poudre at Bellvue Diversion,PBD,1-Mar-22,NORM,,23.4,,7.77,845,82.83,4.77,0.05,0.98,2.28,8.26,0.11,3.68,0.37,0,5.79
FCW 1339,Poudre at Bellvue Diversion,PBD,28-Mar-22,NORM,,31.48,,7.68,823.26,106.28,5.06,0.06,1.1,2.9,14.51,0.12,4.1,0.24,0,7.23
FCW 1371,Poudre at Bellvue Diversion,PBD,27-Apr-22,NORM,,42.91,,7.75,605.86,106,6.67,0.03,1.32,2.26,9.53,0.08,2.71,4.18,0,7.22
FCW 1430,Poudre at Bellvue Diversion,PBD,31-May-22,NORM,,95.1,0.82,7.47,429.34,59.18,4.03,0.01,0.82,1.9,5.61,0.03,1.17,1.47,0,5.33
FCW 1512,Poudre at Bellvue Diversion,PBD,22-Jun-22,NORM,7.63,17.6,1.17,7.56,401.33,46,1.49,0.05,0.7,1.17,5.53,0.12,0.59,0.66,0,2.33
FCW 1598,Poudre at Bellvue Diversion,PBD,11-Jul-22,NORM,8.1,18.6,1.02,7.67,465.99,58.23,2.11,0.04,0.73,1.64,7.5,0.15,1.3,0.35,0,3.05
FCW 1658,Poudre at Bellvue Diversion,PBD,25-Jul-22,NORM,19.82,18.48,0.88,7.52,584.71,69.58,2.49,0.01,0.76,1.8,9.06,0.06,1.47,0.25,0,3.46
FCW 1704,Poudre at Bellvue Diversion,PBD,8-Aug-22,NORM,11,16.3,0.72,7.44,539.83,62.76,2.16,0.01,0.86,1.59,7.59,0.16,0.97,0.08,0,3.79
FCW 1762,Poudre at Bellvue Diversion,PBD,25-Aug-22,NORM,15,32.21,1.13,7.47,538.5,66.89,2.2,0.03,0.9,1.83,7.89,0.1,0.99,0.04,0,3.89
FCW 1763,Poudre at Bellvue Diversion,PBD,25-Aug-22,DUPLICATE,15.59,34.55,0.96,7.47,562,67.93,2.22,0.01,0.91,1.87,8,0.09,1,0.05,0,3.89
FCW 1778,Poudre at Bellvue Diversion,PBD,26-Aug-22,NORM,21.83,26.86,1.02,7.49,582.97,68.42,2.26,0.02,0.99,1.9,8.12,0.1,0.9,0.04,0,4
FCW 1830,Poudre at Bellvue Diversion,PBD,9-Sep-22,NORM,10.56,6.53,0.42,7.28,588.8,75.71,2.62,0.05,0.99,2.02,9.74,0.17,1.37,0.06,0,5.44
FCW 1879,Poudre at Bellvue Diversion,PBD,19-Sep-22,NORM,10.93,7.19,0.41,7.18,638.67,76.93,2.85,0,1.01,2.12,9.5,0.12,1.63,0.07,0,3.83
FCW 1918,Poudre at Bellvue Diversion,PBD,23-Sep-22,NORM,11.22,8.6,0.62,6.98,598.04,68.67,2.68,0.07,0.94,1.85,8.4,0.11,1.3,0.08,0,3.09
FCW 1969,Poudre at Bellvue Diversion,PBD,7-Oct-22,NORM,0.92,2.22,0.48,7.2,890.54,89.75,2.79,0.06,1.21,2.34,9.03,0.12,1.78,0.07,0,4.12
FCW 2012,Poudre at Bellvue Diversion,PBD,21-Oct-22,NORM,0.84,1.8,0.52,6.91,878.15,102.04,4.45,0.01,0.95,3.23,11.63,0.13,2.51,0.06,0,4.81
FCW 2055,Poudre at Bellvue Diversion,PBD,8-Nov-22,NORM,1.11,1.51,0.28,7.15,738.49,94.7,4.02,0.04,0.92,2.55,12.76,0.1,2.05,0.05,0,4.65
FCW 99,Poudre Below Rustic,PBR,21-Aug-20,NORM,1.25,2.91,,7.57,440.7,54.46,1.43,0.02,0.72,1.6,6.35,0.12,1.34,0.18,0,3.8
FCW 144,Poudre Below Rustic,PBR,21-Sep-20,NORM,1.4, ,,7.54,452.11,55.58,1.66,0.02,0.73,1.66,7.03,0.13,1.35,0.29,0,3.61
FCW 190,Poudre Below Rustic,PBR,30-Oct-20,NORM,1.1, ,,7.66,603.4,61.3,2.44,0.06,1.32,2.11,7.55,0.01,1.13,0.11,0,2.97
FCW 217,Poudre Below Rustic,PBR,16-Nov-20,NORM,1, ,,7.51,502.3,59.63,2.31,0.01,1.23,1.69,6.92,0.07,1.38,0.13,0,3.62
FCW 233,Poudre Below Rustic,PBR,16-Dec-20,NORM,2, ,,7.55,439.87,54.82,1.95,0.02,0.98,1.63,6.2,0.07,1.23,0.14,0,3.56
FCW 227,Poudre Below Rustic,PBR,7-Apr-21,NORM,6,3.97,,7.31,586.51,63.56,5.12,0.02,1.04,2.56,4.4,0.11,0.79,0.06,0.07,2.51
FCW 245,Poudre Below Rustic,PBR,12-Apr-21,NORM,1.6,2.88,,7.45,624.54,64.23,2.18,0.01,0.97,1.74,6.21,0.07,1.39,0.08,0,3.05
FCW 267,Poudre Below Rustic,PBR,19-Apr-21,NORM,1.4,0,,7.47,574.46,62.08,2.77,0.01,0.94,1.72,6.01,0.07,1.41,0.11,0,2.95
FCW 287,Poudre Below Rustic,PBR,26-Apr-21,NORM,2.5,0,,7.63,623.79,63.29,2.78,0.01,0.91,1.82,5.35,0.06,1.38,0.12,0,2.91
FCW 288,Poudre Below Rustic,PBR,26-Apr-21,DUPLICATE, ,4.95,,7.61,635.9,63.21,2.84,0.01,0.88,1.76,5.21,0.06,1.4,0.12,0,2.9
FCW 327,Poudre Below Rustic,PBR,3-May-21,NORM,4.75,15.8,,7.3,475.88,73.28,2.4,0.01,0.88,1.74,6.2,0.08,2.45,0.48,0,14.19
FCW 352,Poudre Below Rustic,PBR,10-May-21,NORM,3.25,6.13,,7.55,480.16,74.17,2.32,0.02,0.84,1.55,6.18,0.07,3.01,0.48,0.06,13.8
FCW 388,Poudre Below Rustic,PBR,17-May-21,NORM,9.5,22.2,,7.31,379.75,65.89,1.93,0.03,0.98,1.54,6.12,0.06,1.93,0.3,0.03,11.79
FCW 400,Poudre Below Rustic,PBR,24-May-21,NORM,2,12,,7.07,319.19,59.85,2.07,0.08,1.06,1.51,6.39,0.06,1.39,0.49,0,8.12
FCW 431,Poudre Below Rustic,PBR,1-Jun-21,NORM,2.5,6,,7.11,290.44,46.04,1.76,0.03,0.81,1.18,4.96,0.05,1.38,0.23,0,5.47
FCW 459,Poudre Below Rustic,PBR,7-Jun-21,NORM,6.5, ,,6.85,224.31,36.4,1.51,0.03,0.66,0.92,3.99,0.06,0.69,0.34,0,4.1
FCW 524,Poudre Below Rustic,PBR,21-Jun-21,NORM,3.1,4.4,,6.82,267.52,38.75,1.48,0.03,0.64,1.01,4.99,0.09,0.53,0.23,0,3.49
FCW 594,Poudre Below Rustic,PBR,1-Jul-21,NORM,2, ,,7.07,290.33,40.14,1.53,0.02,0.61,1.06,5.17,0.05,0.54,0.12,0,3.52
FCW 605,Poudre Below Rustic,PBR,2-Jul-21,NORM,2.4,4.5,,7.14,355.45,45.65,1.59,0.04,0.65,1.1,5.6,0.06,0.56,0.13,0,3.74
FCW 668,Poudre Below Rustic,PBR,21-Jul-21,NORM,10,964,,7.21,778.07,107.89,1.87,0.12,2.24,2.34,16.25,0.1,0.92,1.22,0.41,5.18
FCW 671,Poudre Below Rustic,PBR,21-Jul-21,NORM,13.75,617.62,,7.18,525.9,53.99,1.82,0.03,0.66,1.38,5.17,0.06,0.52,0.16,0,4.81
FCW 683,Poudre Below Rustic,PBR,26-Jul-21,NORM, ,63.7,,7.18,393.74,51.66,1.82,0.05,0.74,1.38,6.29,0.11,0.65,0.41,0,4.94
FCW 782,Poudre Below Rustic,PBR,4-Aug-21,NORM,20,211.76,,7.08,352.45,46.69,1.7,0.03,0.88,1.21,5.8,0.04,0.72,0.95,0,3.89
FCW 937,Poudre Below Rustic,PBR,23-Aug-21,NORM,15,12.95,,7.08,416.18,52.37,2.1,0.05,0.81,1.23,6.24,0.04,0.79,0.36,0,3.97
FCW 1195,Poudre Below Rustic,PBR,8-Oct-21,NORM,9.3,2.18,,7.54,547.39,56.18,2.05,0.03,0.82,1.08,5.8,0.04,0.81,0.34,0,4
FCW 1246,Poudre Below Rustic,PBR,5-Nov-21,NORM,,0.87,,7.35,396.57,53.84,3.7,0.03,1.04,1.16,4.25,0.05,1.69,0.35,0,4.75
