IDNo,Site,SiteDescr,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 329,Poudre Below S. Fork,PSF_050321,PSF,3-May-21,NORM,,,,7,0.45,7.35,514.77,72.28,2.54,0.02,0.87,1.69,6.09,0.11,2.26,0.5,0,12.9
FCW 328,Poudre South Fork,SFM_050321,SFM,3-May-21,NORM,,,,7.41,0.5,7.17,386.67,61.05,1.8,0.01,0.74,1.29,5.01,0.14,1.94,0.45,0,11.58
FCW 347,Barnes Meadow Outflow,BMD_051021,BMD,10-May-21,NORM,5.5,8,,9.28,0.66,7.14,702.12,97.33,1.31,0.08,1.07,1.5,9.59,0.05,2.37,0.35,0.09,23.68
FCW 345,Chambers Inlet,CBRI_051021,CBRI,10-May-21,NORM,1.75,1,,4.2,0.39,7.16,469.68,65.04,1.46,0.01,0.83,1.06,6.19,0.06,2.15,0.74,0.1,11.22
FCW 346,Chambers Outflow,CHD_051021,CHD,10-May-21,NORM,1.25,2,,3.34,0.34,7.02,465.58,62.25,1.01,0.02,0.77,1.16,5.74,0.06,1.53,0.66,0.05,9.4
FCW 349,Poudre Above Joe Wright,PJW_051021,PJW,10-May-21,NORM,2.4,2,,5.99,0.46,7.27,259.18,53.96,1.44,0.03,0.74,1.04,4.77,0.07,1.38,0.69,0.05,11.89
FCW 350,Poudre Above Joe Wright,PJW_051021,PJW,10-May-21,DUPLICATE,2.5,2,,5.88,0.45,7.29,252.18,52.65,1.3,0.03,0.74,1.08,4.73,0.06,1.31,0.68,0.05,11.88
FCW 348,JWC-Joe Wright @ Aspen Glen Campground,JWC_051021,JWC,10-May-21,NORM,,,,5.98,0.46,7.59,520.87,90.36,1.33,0.02,1.09,1.56,9.9,0.06,4.68,0.07,0.04,13.79
FCW 352,Poudre Below Rustic,PBR_051021,PBR,10-May-21,NORM,,,,5.82,0.38,7.55,480.16,74.17,2.32,0.02,0.84,1.55,6.18,0.07,3.01,0.48,0.06,13.8
FCW 356,Poudre Above North Fork,PNF_051021,PNF,10-May-21,NORM,,,,6.43,0.43,7.46,639.51,87.2,1.98,0.01,0.9,1.76,7.09,0.16,4.54,0.57,0.05,12.23
FCW 354,Poudre Below S. Fork,PSF_051021,PSF,10-May-21,NORM,,,,5.68,0.39,7.29,484.91,70.93,1.99,0.02,0.83,1.58,6.22,0.1,2.01,0.47,0.07,12.95
FCW 353,Poudre South Fork,SFM_051021,SFM,10-May-21,NORM,,,,6.58,0.53,8.04,483.69,59.35,1.76,0.02,0.68,1.31,5.08,0.13,1.46,0.41,0.07,10.98
FCW 383,Barnes Meadow Outflow,BMD_051721,BMD,17-May-21,NORM,3.4,7.92,,9.61,0.8,7.77,795.89,103.53,1.85,0.21,1.33,1.83,10.98,0.05,1.99,0.56,0.33,26.93
FCW 381,Chambers Inlet,CBRI_051721,CBRI,17-May-21,NORM,0.8,0,,4.82,0.46,7.44,445.48,65.93,1.5,0.01,1.03,1.51,7.82,0.05,1.49,0.8,0.31,11.04
